design_group_id,nct_id,group_type,title,arm_desc,intervention_id,intervention_type,name,intervention_desc,arm_title_desc,intervention_name_desc,intervention_type_name_desc
13299803,NCT00000435,Placebo Comparator,A,Subjects randomized to arm A received 25mg/day po of placebo,12910066,Drug,None-placebo,placebo was taken in pill form at 25mg/day for 6 months,"A

Subjects randomized to arm A received 25mg/day po of placebo",None-placebo: placebo was taken in pill form at 25mg/day for 6 months.,"Drug
None-placebo: placebo was taken in pill form at 25mg/day for 6 months."
13299804,NCT00000435,Active Comparator,B,Subjects randomized to Arm B received 25mg/day po of peptide dnaJP1,12910065,Drug,dnaJ peptide,dnaJP1 was taken in pill form at 25mg/day for 6 months,"B

Subjects randomized to Arm B received 25mg/day po of peptide dnaJP1",dnaJ peptide: dnaJP1 was taken in pill form at 25mg/day for 6 months.,"Drug
dnaJ peptide: dnaJP1 was taken in pill form at 25mg/day for 6 months."
13690845,NCT00001337,Experimental,Arm A,EPOCH + Rituximab every 3 weeks for 6 cycles.,13274570,Drug,EPOCH,Combination chemotherapy given with Rituximab (EPOCH-R) IV every 3 weeks for 6 cycles.,"Arm A

EPOCH + Rituximab every 3 weeks for 6 cycles.",EPOCH: Combination chemotherapy given with Rituximab (EPOCH-R) IV every 3 weeks for 6 cycles..,"Drug
EPOCH: Combination chemotherapy given with Rituximab (EPOCH-R) IV every 3 weeks for 6 cycles.."
13690845,NCT00001337,Experimental,Arm A,EPOCH + Rituximab every 3 weeks for 6 cycles.,13274571,Biological,Rituximab,Rituximab given on Day 1 of combination chemotherapy (EPOCH-R) every 3 weeks for 6 cycles.,"Arm A

EPOCH + Rituximab every 3 weeks for 6 cycles.",Rituximab: Rituximab given on Day 1 of combination chemotherapy (EPOCH-R) every 3 weeks for 6 cycles..,"Biological
Rituximab: Rituximab given on Day 1 of combination chemotherapy (EPOCH-R) every 3 weeks for 6 cycles.."
13732309,NCT00001563,Experimental,1,EPOCH-R every 3 weeks for up to 6 cycle,13311178,Biological,Filgrastim,Filgrastim after EPOCH-R from Day 6 for 10 days every cycle.,"1

EPOCH-R every 3 weeks for up to 6 cycle",Filgrastim: Filgrastim after EPOCH-R from Day 6 for 10 days every cycle..,"Biological
Filgrastim: Filgrastim after EPOCH-R from Day 6 for 10 days every cycle.."
13732309,NCT00001563,Experimental,1,EPOCH-R every 3 weeks for up to 6 cycle,13311179,Biological,Rituximab,EPOCH-R every 3 weeks for up to 6 cycle,"1

EPOCH-R every 3 weeks for up to 6 cycle",Rituximab: EPOCH-R every 3 weeks for up to 6 cycle.,"Biological
Rituximab: EPOCH-R every 3 weeks for up to 6 cycle."
13732309,NCT00001563,Experimental,1,EPOCH-R every 3 weeks for up to 6 cycle,13311180,Drug,EPOCH,EPOCH-R every 3 weeks for up to 6 cycle,"1

EPOCH-R every 3 weeks for up to 6 cycle",EPOCH: EPOCH-R every 3 weeks for up to 6 cycle.,"Drug
EPOCH: EPOCH-R every 3 weeks for up to 6 cycle."
13299883,NCT00001575,Experimental,Anti-Tac yttrium 90-labeled humanized anti-Tac (90 Y-HAT),"10 mCi (if a bone marrow transplant was part of the patient's previous therapy) or 15 mCi of yttrium labeled anti-TAC; followed by calcium trisodium Inj (Ca DTPA).
Ca-DTPA will be administered intravenously on Days 1-3 to clear the radioactive agent from the body",12910234,Biological,Y-90 Humanized Anti-Tac,10 mCi (if a bone marrow transplant was part of the patient's previous therapy) or 15 mCi of yttrium labeled anti-TAC; followed by calcium trisodium Inj (Ca DTPA).,"Anti-Tac yttrium 90-labeled humanized anti-Tac (90 Y-HAT)

10 mCi (if a bone marrow transplant was part of the patient's previous therapy) or 15 mCi of yttrium labeled anti-TAC; followed by calcium trisodium Inj (Ca DTPA).
Ca-DTPA will be administered intravenously on Days 1-3 to clear the radioactive agent from the body",Y-90 Humanized Anti-Tac: 10 mCi (if a bone marrow transplant was part of the patient's previous therapy) or 15 mCi of yttrium labeled anti-TAC; followed by calcium trisodium Inj (Ca DTPA)..,"Biological
Y-90 Humanized Anti-Tac: 10 mCi (if a bone marrow transplant was part of the patient's previous therapy) or 15 mCi of yttrium labeled anti-TAC; followed by calcium trisodium Inj (Ca DTPA).."
13299883,NCT00001575,Experimental,Anti-Tac yttrium 90-labeled humanized anti-Tac (90 Y-HAT),"10 mCi (if a bone marrow transplant was part of the patient's previous therapy) or 15 mCi of yttrium labeled anti-TAC; followed by calcium trisodium Inj (Ca DTPA).
Ca-DTPA will be administered intravenously on Days 1-3 to clear the radioactive agent from the body",12910235,Drug,Calcium-DTPA,Ca-DTPA will be administered intravenously on Days 1-3 to clear the radioactive agent from the body,"Anti-Tac yttrium 90-labeled humanized anti-Tac (90 Y-HAT)

10 mCi (if a bone marrow transplant was part of the patient's previous therapy) or 15 mCi of yttrium labeled anti-TAC; followed by calcium trisodium Inj (Ca DTPA).
Ca-DTPA will be administered intravenously on Days 1-3 to clear the radioactive agent from the body",Calcium-DTPA: Ca-DTPA will be administered intravenously on Days 1-3 to clear the radioactive agent from the body.,"Drug
Calcium-DTPA: Ca-DTPA will be administered intravenously on Days 1-3 to clear the radioactive agent from the body."
13299880,NCT00001586,Experimental,Low-Intermediate Risk B-Cell Pts,Previously untreated low or intermediate risk B-cell chronic lymphocytic lymphoma (CLL)/small lymphocytic lymphoma (SLL) patients (pts) not requiring chemotherapy. No rituximab fludarabine administered. Eligible to donate cells.,12910230,Other,Leukemic or stroma cells,"Patients are eligible to donate cells for the purpose of analyzing leukemic cells. Cells can be donated by apheresis (e.g. 60-90 minute intravenous technique), lymph node biopsy (e.g. 3 biopsy/excision of lymph nodes)bone marrow biopsy (e.g. 2-4 separate bone marrow biopsies), and bone marrow aspiration (e.g. 3 to 5cc of marrow per aspirate).","Low-Intermediate Risk B-Cell Pts

Previously untreated low or intermediate risk B-cell chronic lymphocytic lymphoma (CLL)/small lymphocytic lymphoma (SLL) patients (pts) not requiring chemotherapy. No rituximab fludarabine administered. Eligible to donate cells.","Leukemic or stroma cells: Patients are eligible to donate cells for the purpose of analyzing leukemic cells. Cells can be donated by apheresis (e.g. 60-90 minute intravenous technique), lymph node biopsy (e.g. 3 biopsy/excision of lymph nodes)bone marrow biopsy (e.g. 2-4 separate bone marrow biopsies), and bone marrow aspiration (e.g. 3 to 5cc of marrow per aspirate)..","Other
Leukemic or stroma cells: Patients are eligible to donate cells for the purpose of analyzing leukemic cells. Cells can be donated by apheresis (e.g. 60-90 minute intravenous technique), lymph node biopsy (e.g. 3 biopsy/excision of lymph nodes)bone marrow biopsy (e.g. 2-4 separate bone marrow biopsies), and bone marrow aspiration (e.g. 3 to 5cc of marrow per aspirate).."
