drug_id,drug_name,drug_synonyms_value,drug_synonyms_type,therapy_areas,drug_primary_action_value,drug_primary_action_id,drug_secondary_action_value,drug_secondary_action_id,drug_primary_indication_value,drug_primary_indication_id,drug_secondary_indication_value,drug_secondary_indication_id,drug_primary_company_value,drug_primary_company_id,drug_secondary_company_value,drug_secondary_company_id,drug_company_originator_value,drug_company_originator_id,drug_brand_names,drug_generic_names,molecular_mechanism_value,molecular_mechanism_id,cellular_mechanism_value,cellular_mechanism_id
100013,"asparaginase, Medac","asparaginase, Medac|Spectrila",Trade Name,Cancer,Asparaginase stimulator,517,Apoptosis stimulator|Anticancer,1589|1545,Acute lymphoblastic leukemia,1728,,,Medac GmbH,17967,,,Medac GmbH,17967,,,,,,
100057,MRx-518,"live biotherapeutic preparation (MicroRx, cancer), 4d pharma|MRx-518|live biotherapeutic preparation (oral, cancer), 4d pharma|MRx-0518",Research Code|Research Code,Cancer,,,Microbiome modulator|Immunostimulant|Anticancer,173474|393|1545,Pancreas tumor|Prostate tumor|Stage IV melanoma|Metastatic bladder cancer|Metastatic non small cell lung cancer|Urethral cancer|Metastatic renal cell carcinoma|Breast tumor|Head and neck tumor|Uterus tumor|Lung tumor|Ovary tumor,249|276|3257|3466|3665|3678|4250|49|623|740|755|799,Cancer,651,4D pharma plc,1093689,,,4D pharma plc,1093689,,,,,,
100070,naporafenib,"LXH-254|pan-RAF inhibitor (oral/tablet, advanced solid tumors/NSCLC/melanoma/ovarian cancer/colorectal), Novartis Pharmaceuticals|naporafenib",Research Code|PINN,Cancer,Raf 1 protein kinase inhibitor|Raf B protein kinase inhibitor,4550|4548,Anticancer protein kinase inhibitor,62255,Stage IV melanoma|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Advanced solid tumor|Metastatic ovary cancer,3257|3658|3665|3713|3866,Non-small-cell lung cancer|Solid tumor,1262|725,Novartis Pharmaceuticals Corp,24818,,,Novartis Pharmaceuticals Corp,24818,,,,,,
100109,"tirapazamine (hepatocellular carcinoma), Teclison/Cheery Pharma","tirapazamine|tirapazamine (hepatocellular carcinoma), Teclison/Cheery Pharma",USAN|INN,Cancer,,,Bioreducible cytotoxin|Anticancer,1585|1545,Neuroendocrine tumor|Hepatocellular carcinoma|Liver tumor|Metastatic gastrointestinal cancer|Metastatic colorectal cancer|Metastatic non small cell lung cancer,1128|1767|202|3460|3658|3665,,,Teclison Ltd|Cheery Pharma,1116794|1104733,,,Teclison Ltd,1116794,,,,,,
100129,"topotecan hydrochloride (oral, small-cell lung cancer), Novartis","Hycamtin|topotecan hydrochloride|topotecan|topotecan (oral, small-cell lung cancer), GlaxoSmithKline|topotecan (oral, small-cell lung cancer), Novartis|topotecan hydrochloride (oral, small-cell lung cancer), Novartis",Trade Name|USAN|BAN|INN,Cancer,Topoisomerase I inhibitor,141,Anticancer,1545,Small-cell lung cancer,1261,Non-small-cell lung cancer,1262,Novartis AG,23137,GlaxoSmithKline plc,28355,GlaxoSmithKline plc,28355,,,,,,
100157,loncastuximab tesirine,ADCT-402|loncastuximab tesirine|Lonca-T|Lonca|loncastuximab tesirine-lpyl|Zynlonta,Research Code|INN|Trade Name,Cancer,B-lymphocyte antigen CD19 inhibitor,5082,Anticancer monoclonal antibody,55685,B-cell acute lymphoblastic leukemia|Lymphoplasmacytic lymphoma|Mantle cell lymphoma|Follicle center lymphoma|Marginal zone B-cell lymphoma|Diffuse large B-cell lymphoma|High grade B-cell lymphoma|Hematological neoplasm|B-cell lymphoma|Non-Hodgkin lymphoma|Burkitts lymphoma,1729|1743|1744|1745|1746|1749|1751|2054|316|319|791,,,ADC Therapeutics Sarl|Overland ADCT BioPharma (CY) Limited,1068935|1232531,,,ADC Therapeutics Sarl,1068935,,,,,,
100159,PLX-51107,"BRD4 inhibitors (hematological cancer), Plexxikon|PLX-51107",Research Code,Cancer|Immune,Bromodomain containing protein 4 inhibitor,34570,Anticancer,1545,Graft versus host disease,616,Myelodysplastic syndrome|Acute myelogenous leukemia|Hematological neoplasm|Solid tumor,1272|1731|2054|725,Plexxikon Inc,29155,,,Plexxikon Inc,29155,,,,,,
100161,bomedemstat bis-tosylate,"lysine-specific histone demethylase-1 inhibitors (myeloproliferative disorder), Imago Biosciences|LSD1 inhibitors (myeloproliferative disorder), Imago Biosciences|IMG-98|IMG-7289|bomedemstat|bomedemstat bis-tosylate",Research Code|Research Code|INN,Cancer|Hematologic,Lysine specific histone demethylase 1 inhibitor,14681,Anticancer,1545,Myelodysplastic syndrome|Acute myelogenous leukemia|Thrombocythemia|Polycythemia vera|Myelofibrosis|Myeloproliferative disorder,1272|1731|2317|2319|2436|273,,,Imago Biosciences,1101559,,,Imago Biosciences,1101559,,,,,,
100198,S-64315,"Mcl-1 inhibitors (cancer), Servier/Novartis|S-63845|S-64315|MIK-665",Research Code|Research Code|Research Code,Cancer,Mcl-1 differentiation protein inhibitor,11381,Synergist|Apoptosis stimulator|Anticancer,7293|1589|1545,Myelodysplastic syndrome|Acute myelogenous leukemia|Diffuse large B-cell lymphoma|Multiple myeloma|Non-Hodgkin lymphoma,1272|1731|1749|1828|319,Cancer,651,Servier|Novartis AG,19863|23137,,,Servier,19863,,,,,,
100207,RNA CART123,"RNA CART123|anti-CD123 CAR T-cell therapy (AML), University of Pennsylvania/Novartis|MIH-911",Research Code|Research Code,Cancer,CDw123 modulator,5427,Genetically engineered autologous cell therapy|T-lymphocyte stimulator|Immunostimulant|Anticancer,4790|7761|393|1545,Acute myelogenous leukemia,1731,,,Novartis AG,23137,University of Pennsylvania,20658,University of Pennsylvania,20658,,,,,,
100225,"quavonlimab + pembrolizumab (fixed-dose combination, advanced solid tumors), Merck","AK-107|MK-1308|CTLA-4 checkpoint inhibitor (solid tumor), Merck Sharp & Dohme|CTLA-4 checkpoint inhibitor (advanced solid tumor), Merck & Co/Akeso Biopharma|humanized anti-CTLA-4 monoclonal antibody (advanced solid tumor), Merck & Co/Akeso Biopharma|quavonlimab|quavonlimab + pembrolizumab (fixed-dose combination, advanced solid tumors), Merck|MK-1308A",Research Code|Research Code|INN|Research Code,Cancer,Cytotoxic T-lymphocyte protein-4 inhibitor|Programmed cell death protein 1 inhibitor,5482|67136,Immunostimulant|Anticancer monoclonal antibody|T-lymphocyte stimulator,393|55685|7761,Small-cell lung cancer|Hepatocellular carcinoma|Stage III melanoma|Stage IV melanoma|Metastatic colorectal cancer|Metastatic non small cell lung cancer|Advanced solid tumor|Metastatic renal cell carcinoma,1261|1767|3256|3257|3658|3665|3713|4250,Cancer,651,Merck & Co Inc,18077,Akeso Biopharma Inc,1075032,Akeso Biopharma Inc,1075032,,,Angiotensin-I Converting Enzyme (ACE) Inhibitors,381,,
100231,HX-008,"AK-103|PD-1 checkpoint inhibitor (recombinant humanized antibody, cancer), Akeso Biopharma|PD-1 checkpoint inhibitor (cancer), HanX Biopharmaceuticals|HX-008|PD-1 checkpoint inhibitor (recombinant humanized antibody, cancer), Akeso Biopharma/Taizhou Hanzhong/Hangzhou Hansi",Research Code|Research Code,Cancer,Programmed cell death protein 1 inhibitor,67136,T-lymphocyte stimulator|Anticancer monoclonal antibody|Immunostimulant,7761|55685|393,Hepatocellular carcinoma|Bladder cancer|Stage IV melanoma|Soft tissue sarcoma|Metastatic liver cancer|Metastatic breast cancer|Metastatic non small cell lung cancer|Metastatic stomach cancer|Metastatic head and neck cancer|Advanced solid tumor,1767|2380|3257|3378|3462|3657|3665|3666|3673|3713,Cancer,651,HanX Biopharmaceuticals Inc|Akeso Biopharma Inc|Taizhou Hanzhong Biomed Co Ltd,1158103|1075032|1160384,,,Akeso Biopharma Inc,1075032,,,,,,
100233,AK-104,"AK-104|PD-1 checkpoint inhibitor (bispecific humanized antibody, cancer), Akeso Biopharma|humanized PD-1/CTLA-4 bispecific antibody (advanced solid tumors, gastric or gastroesophageal junction adenocarcinoma), Akeso Biopharma|cadonilimab",Research Code,Cancer,Cytotoxic T-lymphocyte protein-4 inhibitor|Programmed cell death protein 1 inhibitor,5482|67136,Immunostimulant|T-lymphocyte stimulator|Anticancer monoclonal antibody,393|7761|55685,Peripheral T-cell lymphoma|Hepatocellular carcinoma|Nasopharyngeal carcinoma|Transitional cell carcinoma|Melanoma|Squamous cell carcinoma|Metastatic non small cell lung cancer|Metastatic stomach cancer|Metastatic esophageal cancer|Advanced solid tumor|Uterine cervix tumor|Breast tumor,1753|1767|1768|1771|205|307|3665|3666|3667|3713|427|49,Cancer,651,Akeso Biopharma Inc,1075032,,,Akeso Biopharma Inc,1075032,,,Angiotensin-I Converting Enzyme (ACE) Inhibitors,381,,
