Raw Drug,Mechanism Of Action,drug_cleaned,drug_sponsor,standard_drug,synonym_cortellus,flag,synonym_list,drug_cleaned_cortellus,flag_synoymn_list,synonym_list_cleaned,Mapping_flag
nivolumab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,nivolumab,,nivolumab,nivolumab,fexact,"['nivolumab', 'MDX-1106-04', 'Opdivo', 'BMS-936558-01', 'PD-1 checkpoint inhibitor (cancer),/', 'BMS-986298', 'anti-PD-1 antibody (cancer), Ono/Medarex/BMS', 'anti-PD-1 antibody (cancer), Ono//BMS', 'ONO-4538', 'PD-1 checkpoint inhibitor (cancer),/Ono', 'anti-PD-1 antibody (cancer),//BMS', 'BMS-936558', 'NIVO', '89Zr-nivolumab', 'MDX-1106']",nivolumab,fexact,"['nivolumab', 'mdx 1106 04', 'opdivo', 'bms 936558 01', 'pd 1 checkpoint inhibitor cancer', 'bms 986298', 'anti pd 1 antibody cancer ono medarex bms', 'anti pd 1 antibody cancer ono bms', 'ono 4538', 'pd 1 checkpoint inhibitor cancer ono', 'anti pd 1 antibody cancer bms', 'bms 936558', 'nivo', '89zr nivolumab', 'mdx 1106']",correct_mapping
ipilimumab (iv),CTLA4 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,ipilimumab,,ipilimumab,ipilimumab,fexact,"['BMS-734016', 'MDX-010', 'Winglore', 'MDX-101', 'anti-CTLA4, Medarex', 'Yervoy', 'MDX-CTLA4', 'CTLA-4 checkpoint inhibitor (cancer)', 'anti-CTLA4', 'ipilimumab']",ipilimumab,fexact,"['bms 734016', 'mdx 010', 'winglore', 'mdx 101', 'anti ctla4 medarex', 'yervoy', 'mdx ctla4', 'ctla 4 checkpoint inhibitor cancer', 'anti ctla4', 'ipilimumab']",correct_mapping
pemetrexed disodium,Phosphoribosylglycinamide formyltransferase inhibitor; Thymidylate synthase inhibitor; Dihydrofolate reductase inhibitor,pemetrexed disodium,,pemetrexed disodium,pemetrexed disodium,fexact,"['NSC-698037', 'multitargeted antifolate', 'Alimta', 'pemetrexed', 'MTA', 'LY-231514', 'IND-40061', 'pemetrexed sodium hydrate', 'pemetrexed disodium']",pemetrexed disodium,fexact,"['nsc 698037', 'multitargeted antifolate', 'alimta', 'pemetrexed', 'mta', 'ly 231514', 'ind 40061', 'pemetrexed sodium hydrate', 'pemetrexed disodium']",correct_mapping
paclitaxel,Beta tubulin inhibitor; Microtubule stimulant; Taxane,paclitaxel,,paclitaxel,paclitaxel,fexact,"['Praxel', 'BMS-181339-01', 'taxol A, NIH', 'paclitaxel, BMS', 'Anzatax', 'Onxal', 'intaxel', 'taxol, BMS', 'taxol, NIH', 'taxol A, BMS', 'paclitaxel, NIH', 'Bristaxol', 'NSC-125973', 'paclitaxel', 'Asotax', 'NSC-673089', 'Taxol']",paclitaxel,fexact,"['praxel', 'bms 181339 01', 'taxol a nih', 'paclitaxel bms', 'anzatax', 'onxal', 'intaxel', 'taxol bms', 'taxol nih', 'taxol a bms', 'paclitaxel nih', 'bristaxol', 'nsc 125973', 'paclitaxel', 'asotax', 'nsc 673089', 'taxol']",correct_mapping
nab-paclitaxel (IV),Beta tubulin inhibitor; Microtubule stimulant; Taxane,nab-paclitaxel,,"paclitaxel (albumin-bound nanoparticle, intravenous)",nab paclitaxel,fexact,"['paclitaxel (albumin-bound nanoparticle, intravenous), Celgene', 'nab-paclitaxel', 'Abraxus', 'paclitaxel (albumin-bound nanoparticle, intravenous), American Bioscience', 'ABI-007', 'Abraxane', 'Capxol', 'paclitaxel (albumin-bound nanoparticle, intravenous), American Pharmaceutical Partners', 'paclitaxel (albumin-bound nanoparticle, intravenous)', 'paclitaxel', 'paclitaxel (albumin-bound nanoparticle, intravenous),/Taiho', 'paclitaxel (albumin-bound nanoparticle, intravenous),/']","paclitaxel (albumin-bound nanoparticle, intravenous)",fexact,"['paclitaxel albumin bound nanoparticle intravenous celgene', 'nab paclitaxel', 'abraxus', 'paclitaxel albumin bound nanoparticle intravenous american bioscience', 'abi 007', 'abraxane', 'capxol', 'paclitaxel albumin bound nanoparticle intravenous american pharmaceutical partners', 'paclitaxel albumin bound nanoparticle intravenous', 'paclitaxel', 'paclitaxel albumin bound nanoparticle intravenous taiho', 'paclitaxel albumin bound nanoparticle intravenous']",correct_mapping
pembrolizumab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,pembrolizumab,,pembrolizumab,pembrolizumab,fexact,"['PD-1 checkpoint inhibitor (cancer), Merck & Co', 'SCH-900475', 'lambrolizumab, Merck', 'MK-3475', 'pembrolizumab', 'lambrolizumab', 'PD-1 checkpoint inhibitor (cancer)', 'Keytruda']",pembrolizumab,fexact,"['pd 1 checkpoint inhibitor cancer merck co', 'sch 900475', 'lambrolizumab merck', 'mk 3475', 'pembrolizumab', 'lambrolizumab', 'pd 1 checkpoint inhibitor cancer', 'keytruda']",correct_mapping
carboplatin (iv),DNA inhibitor,carboplatin,,carboplatin,carboplatin,fexact,"['BMY-26575', 'Paraplatin', 'CBDCA', 'carboplatin']",carboplatin,fexact,"['bmy 26575', 'paraplatin', 'cbdca', 'carboplatin']",correct_mapping
afatinib,EGFR kinase inhibitor; ErbB-2 tyrosine kinase inhibitor; Tyrosine kinase inhibitor (TKI),afatinib,,afatinib,afatinib,fexact,"['Giotrif', 'afatinib', 'Tomtovok', 'Gilotrif', 'BIBW-2992', 'Tovok', 'dual EGFR/HER2 receptor tyrosine kinase inhibitor (solid tumors)', 'Xovoltib', 'afatinib dimaleate']",afatinib,fexact,"['giotrif', 'afatinib', 'tomtovok', 'gilotrif', 'bibw 2992', 'tovok', 'dual egfr her2 receptor tyrosine kinase inhibitor solid tumors', 'xovoltib', 'afatinib dimaleate']",correct_mapping
ECP-1014,Cyclooxygenase 2 inhibitor,ECP-1014,,,,0,"['chromene COX-2 inhibitors (tablets/capsules, inflammation/acute pain/cancer), Guangzhou Institutes of Biomedicine and Health/', 'chromene cox-2 inhibitors (oral, inflammation/acute pain/cancer)', 'GIBH-1018', 'chromene cox-2 inhibitors (tablets/capsules, inflammation/acute pain/cancer)', 'ECP-1014', 'GIBH-1010', 'GIBH-1008', 'ECP-1012', 'chromene COX-2 inhibitors (oral, inflammation/acute pain/cancer), Guangzhou Institutes of Biomedicine and Health', 'GIBH-1014']",,NER_API,[],0
metformin hydrochloride (extended release),Biguanide; Gluconeogenesis inhibitor,metformin hydrochloride,,metformin hydrochloride,metformin hydrochloride,fexact,"['Gliguanid', 'Metfogamma', 'Diabex', 'LA-6023', 'Glifage IR', 'Metgluco', 'Diaformin', 'Flumamine', 'metformin', 'BMS-207150', 'Glucophage', 'Siofor', 'Diabetosan', 'Fluamine', 'Diabex XR', 'Glifage', 'SMP-862', 'metformin hydrochloride', 'Glucofit']",metformin hydrochloride,fexact,"['gliguanid', 'metfogamma', 'diabex', 'la 6023', 'glifage ir', 'metgluco', 'diaformin', 'flumamine', 'metformin', 'bms 207150', 'glucophage', 'siofor', 'diabetosan', 'fluamine', 'diabex xr', 'glifage', 'smp 862', 'metformin hydrochloride', 'glucofit']",correct_mapping
